Regio's;code;naam;code;naam
Epe;GM0232;Epe;GG1413;GGDNoord-enOost-Gelderland
Ermelo;GM0233;Ermelo;GG1413;GGDNoord-enOost-Gelderland
Etten-Leur;GM0777;Etten-Leur;GG5206;GGDWest-Brabant
De Fryske Marren;GM1940;DeFryskeMarren;GG7206;GGDFryslân
Geertruidenberg;GM0779;Geertruidenberg;GG5206;GGDWest-Brabant
Geldrop-Mierlo;GM1771;Geldrop-Mierlo;GG5608;GGDBrabant-Zuidoost
Gemert-Bakel;GM1652;Gemert-Bakel;GG5608;GGDBrabant-Zuidoost
Gennep;GM0907;Gennep;GG6011;GGDLimburg-Noord
Gilze en Rijen;GM0784;GilzeenRijen;GG5406;GGDHartvoorBrabant
Goeree-Overflakkee;GM1924;Goeree-Overflakkee;GG4607;GGDRotterdam-Rijnmond
Goes;GM0664;Goes;GG5006;GGDZeeland
Goirle;GM0785;Goirle;GG5406;GGDHartvoorBrabant
Gooise Meren;GM1942;GooiseMeren;GG3606;GGDGooienVechtstreek
Gorinchem;GM0512;Gorinchem;GG4816;DienstGezondheid&JeugdZHZ
Gouda;GM0513;Gouda;GG4506;GGDHollands-Midden
's-Gravenhage (gemeente);GM0518;'s-Gravenhage;GG7014;GGDHaaglanden
Groningen (gemeente);GM0014;Groningen;GG0111;GGDGroningen
Gulpen-Wittem;GM1729;Gulpen-Wittem;GG6106;GGDZuid-Limburg
Haaksbergen;GM0158;Haaksbergen;GG1106;GGDTwente
Haarlem;GM0392;Haarlem;GG3109;GGDKennemerland
Haarlemmermeer;GM0394;Haarlemmermeer;GG3109;GGDKennemerland
Halderberge;GM1655;Halderberge;GG5206;GGDWest-Brabant
Hardenberg;GM0160;Hardenberg;GG1009;GGDIJsselland
Harderwijk;GM0243;Harderwijk;GG1413;GGDNoord-enOost-Gelderland
Hardinxveld-Giessendam;GM0523;Hardinxveld-Giessendam;GG4816;DienstGezondheid&JeugdZHZ
Harlingen;GM0072;Harlingen;GG7206;GGDFryslân
Hattem;GM0244;Hattem;GG1413;GGDNoord-enOost-Gelderland
Heemskerk;GM0396;Heemskerk;GG3109;GGDKennemerland
Heemstede;GM0397;Heemstede;GG3109;GGDKennemerland
Heerde;GM0246;Heerde;GG1413;GGDNoord-enOost-Gelderland
Heerenveen;GM0074;Heerenveen;GG7206;GGDFryslân
Heerlen;GM0917;Heerlen;GG6106;GGDZuid-Limburg
Heeze-Leende;GM1658;Heeze-Leende;GG5608;GGDBrabant-Zuidoost
Heiloo;GM0399;Heiloo;GG2707;GGDHollands-Noorden
Den Helder;GM0400;DenHelder;GG2707;GGDHollands-Noorden
Hellendoorn;GM0163;Hellendoorn;GG1106;GGDTwente
Helmond;GM0794;Helmond;GG5608;GGDBrabant-Zuidoost
Hendrik-Ido-Ambacht;GM0531;Hendrik-Ido-Ambacht;GG4816;DienstGezondheid&JeugdZHZ
Hengelo (O.);GM0164;Hengelo(O.);GG1106;GGDTwente
's-Hertogenbosch;GM0796;'s-Hertogenbosch;GG5406;GGDHartvoorBrabant
Heumen;GM0252;Heumen;GG2014;GGDGelderland-Zuid
Heusden;GM0797;Heusden;GG5406;GGDHartvoorBrabant
Hillegom;GM0534;Hillegom;GG4506;GGDHollands-Midden
Hilvarenbeek;GM0798;Hilvarenbeek;GG5406;GGDHartvoorBrabant
Hilversum;GM0402;Hilversum;GG3606;GGDGooienVechtstreek
Hoeksche Waard;GM1963;HoekscheWaard;GG4816;DienstGezondheid&JeugdZHZ
Hof van Twente;GM1735;HofvanTwente;GG1106;GGDTwente
Het Hogeland;GM1966;HetHogeland;GG0111;GGDGroningen
Hollands Kroon;GM1911;HollandsKroon;GG2707;GGDHollands-Noorden
Hoogeveen;GM0118;Hoogeveen;GG0706;GGDDrenthe
Hoorn;GM0405;Hoorn;GG2707;GGDHollands-Noorden
Horst aan de Maas;GM1507;HorstaandeMaas;GG6011;GGDLimburg-Noord
Houten;GM0321;Houten;GG2514;GGDRegioUtrecht
Huizen;GM0406;Huizen;GG3606;GGDGooienVechtstreek
Hulst;GM0677;Hulst;GG5006;GGDZeeland
IJsselstein;GM0353;IJsselstein;GG2514;GGDRegioUtrecht
Kaag en Braassem;GM1884;KaagenBraassem;GG4506;GGDHollands-Midden
Kampen;GM0166;Kampen;GG1009;GGDIJsselland
Kapelle;GM0678;Kapelle;GG5006;GGDZeeland
Katwijk;GM0537;Katwijk;GG4506;GGDHollands-Midden
Kerkrade;GM0928;Kerkrade;GG6106;GGDZuid-Limburg
Koggenland;GM1598;Koggenland;GG2707;GGDHollands-Noorden
Krimpen aan den IJssel;GM0542;KrimpenaandenIJssel;GG4607;GGDRotterdam-Rijnmond
Krimpenerwaard;GM1931;Krimpenerwaard;GG4506;GGDHollands-Midden
Laarbeek;GM1659;Laarbeek;GG5608;GGDBrabant-Zuidoost
Land van Cuijk;GM1982;LandvanCuijk;GG5406;GGDHartvoorBrabant
Landgraaf;GM0882;Landgraaf;GG6106;GGDZuid-Limburg
Landsmeer;GM0415;Landsmeer;GG7306;GGDZaanstreek/Waterland
Lansingerland;GM1621;Lansingerland;GG4607;GGDRotterdam-Rijnmond
Laren (NH.);GM0417;Laren(NH.);GG3606;GGDGooienVechtstreek
Leeuwarden;GM0080;Leeuwarden;GG7206;GGDFryslân
Leiden;GM0546;Leiden;GG4506;GGDHollands-Midden
Leiderdorp;GM0547;Leiderdorp;GG4506;GGDHollands-Midden
Leidschendam-Voorburg;GM1916;Leidschendam-Voorburg;GG7014;GGDHaaglanden
Lelystad;GM0995;Lelystad;GG2209;GGDFlevoland
Leudal;GM1640;Leudal;GG6011;GGDLimburg-Noord
Leusden;GM0327;Leusden;GG2514;GGDRegioUtrecht
Lingewaard;GM1705;Lingewaard;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden
Lisse;GM0553;Lisse;GG4506;GGDHollands-Midden
Lochem;GM0262;Lochem;GG1413;GGDNoord-enOost-Gelderland
Loon op Zand;GM0809;LoonopZand;GG5406;GGDHartvoorBrabant
Lopik;GM0331;Lopik;GG2514;GGDRegioUtrecht
Losser;GM0168;Losser;GG1106;GGDTwente
Maasdriel;GM0263;Maasdriel;GG2014;GGDGelderland-Zuid
Maasgouw;GM1641;Maasgouw;GG6011;GGDLimburg-Noord
Maashorst;GM1991;Maashorst;GG5406;GGDHartvoorBrabant
Maassluis;GM0556;Maassluis;GG4607;GGDRotterdam-Rijnmond
Maastricht;GM0935;Maastricht;GG6106;GGDZuid-Limburg
Medemblik;GM0420;Medemblik;GG2707;GGDHollands-Noorden
Meerssen;GM0938;Meerssen;GG6106;GGDZuid-Limburg
Meierijstad;GM1948;Meierijstad;GG5406;GGDHartvoorBrabant
Meppel;GM0119;Meppel;GG0706;GGDDrenthe
Middelburg (Z.);GM0687;Middelburg(Z.);GG5006;GGDZeeland
Midden-Delfland;GM1842;Midden-Delfland;GG7014;GGDHaaglanden
Midden-Drenthe;GM1731;Midden-Drenthe;GG0706;GGDDrenthe
Midden-Groningen;GM1952;Midden-Groningen;GG0111;GGDGroningen
Moerdijk;GM1709;Moerdijk;GG5206;GGDWest-Brabant
Molenlanden;GM1978;Molenlanden;GG4816;DienstGezondheid&JeugdZHZ
Montferland;GM1955;Montferland;GG1413;GGDNoord-enOost-Gelderland
Montfoort;GM0335;Montfoort;GG2514;GGDRegioUtrecht
Mook en Middelaar;GM0944;MookenMiddelaar;GG6011;GGDLimburg-Noord
Neder-Betuwe;GM1740;Neder-Betuwe;GG2014;GGDGelderland-Zuid
Nederweert;GM0946;Nederweert;GG6011;GGDLimburg-Noord
Nieuwegein;GM0356;Nieuwegein;GG2514;GGDRegioUtrecht
Nieuwkoop;GM0569;Nieuwkoop;GG4506;GGDHollands-Midden
Nijkerk;GM0267;Nijkerk;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden
Nijmegen;GM0268;Nijmegen;GG2014;GGDGelderland-Zuid
Nissewaard;GM1930;Nissewaard;GG4607;GGDRotterdam-Rijnmond
Noardeast-Fryslân;GM1970;Noardeast-Fryslân;GG7206;GGDFryslân
Noord-Beveland;GM1695;Noord-Beveland;GG5006;GGDZeeland
Noordenveld;GM1699;Noordenveld;GG0706;GGDDrenthe
Noordoostpolder;GM0171;Noordoostpolder;GG2209;GGDFlevoland
Noordwijk;GM0575;Noordwijk;GG4506;GGDHollands-Midden
Nuenen, Gerwen en Nederwetten;GM0820;Nuenen,GerwenenNederwetten;GG5608;GGDBrabant-Zuidoost
Nunspeet;GM0302;Nunspeet;GG1413;GGDNoord-enOost-Gelderland
Oegstgeest;GM0579;Oegstgeest;GG4506;GGDHollands-Midden
Oirschot;GM0823;Oirschot;GG5608;GGDBrabant-Zuidoost
Oisterwijk;GM0824;Oisterwijk;GG5406;GGDHartvoorBrabant
Oldambt;GM1895;Oldambt;GG0111;GGDGroningen
Oldebroek;GM0269;Oldebroek;GG1413;GGDNoord-enOost-Gelderland
Oldenzaal;GM0173;Oldenzaal;GG1106;GGDTwente
Olst-Wijhe;GM1773;Olst-Wijhe;GG1009;GGDIJsselland
Ommen;GM0175;Ommen;GG1009;GGDIJsselland
Oost Gelre;GM1586;OostGelre;GG1413;GGDNoord-enOost-Gelderland
Oosterhout;GM0826;Oosterhout;GG5206;GGDWest-Brabant
Ooststellingwerf;GM0085;Ooststellingwerf;GG7206;GGDFryslân
Oostzaan;GM0431;Oostzaan;GG7306;GGDZaanstreek/Waterland
Opmeer;GM0432;Opmeer;GG2707;GGDHollands-Noorden
Opsterland;GM0086;Opsterland;GG7206;GGDFryslân
Oss;GM0828;Oss;GG5406;GGDHartvoorBrabant
Oude IJsselstreek;GM1509;OudeIJsselstreek;GG1413;GGDNoord-enOost-Gelderland
Ouder-Amstel;GM0437;Ouder-Amstel;GG3406;GGDAmsterdam
Oudewater;GM0589;Oudewater;GG2514;GGDRegioUtrecht
Overbetuwe;GM1734;Overbetuwe;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden
Papendrecht;GM0590;Papendrecht;GG4816;DienstGezondheid&JeugdZHZ
Peel en Maas;GM1894;PeelenMaas;GG6011;GGDLimburg-Noord
Pekela;GM0765;Pekela;GG0111;GGDGroningen
Pijnacker-Nootdorp;GM1926;Pijnacker-Nootdorp;GG7014;GGDHaaglanden
Purmerend;GM0439;Purmerend;GG7306;GGDZaanstreek/Waterland
Putten;GM0273;Putten;GG1413;GGDNoord-enOost-Gelderland
Raalte;GM0177;Raalte;GG1009;GGDIJsselland
Reimerswaal;GM0703;Reimerswaal;GG5006;GGDZeeland
Renkum;GM0274;Renkum;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden
Renswoude;GM0339;Renswoude;GG2514;GGDRegioUtrecht
Reusel-De Mierden;GM1667;Reusel-DeMierden;GG5608;GGDBrabant-Zuidoost
Rheden;GM0275;Rheden;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden
Rhenen;GM0340;Rhenen;GG2514;GGDRegioUtrecht
Ridderkerk;GM0597;Ridderkerk;GG4607;GGDRotterdam-Rijnmond
Rijssen-Holten;GM1742;Rijssen-Holten;GG1106;GGDTwente
Rijswijk (ZH.);GM0603;Rijswijk(ZH.);GG7014;GGDHaaglanden
Roerdalen;GM1669;Roerdalen;GG6011;GGDLimburg-Noord
Roermond;GM0957;Roermond;GG6011;GGDLimburg-Noord
De Ronde Venen;GM0736;DeRondeVenen;GG2514;GGDRegioUtrecht
Roosendaal;GM1674;Roosendaal;GG5206;GGDWest-Brabant
Rotterdam;GM0599;Rotterdam;GG4607;GGDRotterdam-Rijnmond
Rozendaal;GM0277;Rozendaal;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden
Rucphen;GM0840;Rucphen;GG5206;GGDWest-Brabant
Schagen;GM0441;Schagen;GG2707;GGDHollands-Noorden
Scherpenzeel;GM0279;Scherpenzeel;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden
Schiedam;GM0606;Schiedam;GG4607;GGDRotterdam-Rijnmond
Schiermonnikoog;GM0088;Schiermonnikoog;GG7206;GGDFryslân
Schouwen-Duiveland;GM1676;Schouwen-Duiveland;GG5006;GGDZeeland
Simpelveld;GM0965;Simpelveld;GG6106;GGDZuid-Limburg
Sint-Michielsgestel;GM0845;Sint-Michielsgestel;GG5406;GGDHartvoorBrabant
Sittard-Geleen;GM1883;Sittard-Geleen;GG6106;GGDZuid-Limburg
Sliedrecht;GM0610;Sliedrecht;GG4816;DienstGezondheid&JeugdZHZ
Sluis;GM1714;Sluis;GG5006;GGDZeeland
Smallingerland;GM0090;Smallingerland;GG7206;GGDFryslân
Soest;GM0342;Soest;GG2514;GGDRegioUtrecht
Someren;GM0847;Someren;GG5608;GGDBrabant-Zuidoost
Son en Breugel;GM0848;SonenBreugel;GG5608;GGDBrabant-Zuidoost
Stadskanaal;GM0037;Stadskanaal;GG0111;GGDGroningen
Staphorst;GM0180;Staphorst;GG1009;GGDIJsselland
Stede Broec;GM0532;StedeBroec;GG2707;GGDHollands-Noorden
Steenbergen;GM0851;Steenbergen;GG5206;GGDWest-Brabant
Steenwijkerland;GM1708;Steenwijkerland;GG1009;GGDIJsselland
Stein (L.);GM0971;Stein(L.);GG6106;GGDZuid-Limburg
Stichtse Vecht;GM1904;StichtseVecht;GG2514;GGDRegioUtrecht
Súdwest-Fryslân;GM1900;Súdwest-Fryslân;GG7206;GGDFryslân
Terneuzen;GM0715;Terneuzen;GG5006;GGDZeeland
Terschelling;GM0093;Terschelling;GG7206;GGDFryslân
Texel;GM0448;Texel;GG2707;GGDHollands-Noorden
Teylingen;GM1525;Teylingen;GG4506;GGDHollands-Midden
Tholen;GM0716;Tholen;GG5006;GGDZeeland
Tiel;GM0281;Tiel;GG2014;GGDGelderland-Zuid
Tilburg;GM0855;Tilburg;GG5406;GGDHartvoorBrabant
Tubbergen;GM0183;Tubbergen;GG1106;GGDTwente
Twenterand;GM1700;Twenterand;GG1106;GGDTwente
Tynaarlo;GM1730;Tynaarlo;GG0706;GGDDrenthe
Tytsjerksteradiel;GM0737;Tytsjerksteradiel;GG7206;GGDFryslân
Uitgeest;GM0450;Uitgeest;GG3109;GGDKennemerland
Uithoorn;GM0451;Uithoorn;GG3406;GGDAmsterdam
Urk;GM0184;Urk;GG2209;GGDFlevoland
Utrecht (gemeente);GM0344;Utrecht;GG2514;GGDRegioUtrecht
Utrechtse Heuvelrug;GM1581;UtrechtseHeuvelrug;GG2514;GGDRegioUtrecht
Vaals;GM0981;Vaals;GG6106;GGDZuid-Limburg
Valkenburg aan de Geul;GM0994;ValkenburgaandeGeul;GG6106;GGDZuid-Limburg
Valkenswaard;GM0858;Valkenswaard;GG5608;GGDBrabant-Zuidoost
Veendam;GM0047;Veendam;GG0111;GGDGroningen
Veenendaal;GM0345;Veenendaal;GG2514;GGDRegioUtrecht
Veere;GM0717;Veere;GG5006;GGDZeeland
